time,Hourly Demand Met (in MW)
01-Jan 12am,2252.78
01-Jan 1am,2013.40
01-Jan 2am,1872.10
01-Jan 3am,1806.61
01-Jan 4am,1855.44
01-Jan 5am,2089.85
01-Jan 6am,2584.39
01-Jan 7am,3247.95
01-Jan 8am,3860.26
01-Jan 9am,4280.86
01-Jan 10am,4540.35
01-Jan 11am,4515.24
01-Jan 12pm,4184.47
01-Jan 1pm,3693.81
01-Jan 2pm,3395.04
01-Jan 3pm,3138.41
01-Jan 4pm,3025.00
01-Jan 5pm,3158.71
01-Jan 6pm,3366.26
01-Jan 7pm,3285.76
01-Jan 8pm,3167.78
01-Jan 9pm,3032.36
01-Jan 10pm,2797.53
01-Jan 11pm,2435.65
02-Jan 12am,2074.97
02-Jan 1am,1847.85
02-Jan 2am,1743.80
02-Jan 3am,1707.40
02-Jan 4am,1774.08
02-Jan 5am,2046.33
02-Jan 6am,2674.63
02-Jan 7am,3449.75
02-Jan 8am,4047.37
02-Jan 9am,4368.82
02-Jan 10am,4558.09
02-Jan 11am,4477.58
02-Jan 12pm,4248.89
02-Jan 1pm,3883.05
02-Jan 2pm,3780.57
02-Jan 3pm,3663.76
02-Jan 4pm,3574.93
02-Jan 5pm,3758.99
02-Jan 6pm,3920.91
02-Jan 7pm,3817.45
02-Jan 8pm,3629.84
02-Jan 9pm,3395.06
02-Jan 10pm,3094.94
02-Jan 11pm,2619.27
03-Jan 12am,2235.57
03-Jan 1am,1991.23
03-Jan 2am,1891.33
03-Jan 3am,1826.85
03-Jan 4am,1898.18
03-Jan 5am,2180.02
03-Jan 6am,2834.47
03-Jan 7am,3566.95
03-Jan 8am,4175.70
03-Jan 9am,4506.01
03-Jan 10am,4683.75
03-Jan 11am,4775.98
03-Jan 12pm,4467.37
03-Jan 1pm,4069.78
03-Jan 2pm,3871.37
03-Jan 3pm,3819.04
03-Jan 4pm,3750.72
03-Jan 5pm,3911.80
03-Jan 6pm,4086.25
03-Jan 7pm,3995.82
03-Jan 8pm,3799.02
03-Jan 9pm,3579.99
03-Jan 10pm,3229.47
03-Jan 11pm,2749.73
04-Jan 12am,2314.25
04-Jan 1am,2058.93
04-Jan 2am,1934.03
04-Jan 3am,1893.25
04-Jan 4am,1956.69
04-Jan 5am,2254.80
04-Jan 6am,2932.14
04-Jan 7am,3755.12
04-Jan 8am,4416.78
04-Jan 9am,4768.25
04-Jan 10am,4991.47
04-Jan 11am,5010.35
04-Jan 12pm,4740.92
04-Jan 1pm,4297.53
04-Jan 2pm,4162.06
04-Jan 3pm,3994.62
04-Jan 4pm,3938.65
04-Jan 5pm,4058.06
04-Jan 6pm,4236.14
04-Jan 7pm,4127.89
04-Jan 8pm,3916.44
04-Jan 9pm,3695.30
04-Jan 10pm,3407.98
04-Jan 11pm,2872.44
05-Jan 12am,2404.84
05-Jan 1am,2121.36
05-Jan 2am,1981.10
05-Jan 3am,1927.34
05-Jan 4am,1993.77
05-Jan 5am,2276.25
05-Jan 6am,2934.26
05-Jan 7am,3767.05
05-Jan 8am,4391.24
05-Jan 9am,4752.49
05-Jan 10am,5074.89
05-Jan 11am,5118.49
05-Jan 12pm,4808.38
05-Jan 1pm,4267.45
05-Jan 2pm,4106.89
05-Jan 3pm,3930.93
05-Jan 4pm,3912.42
05-Jan 5pm,4087.82
05-Jan 6pm,4337.30
05-Jan 7pm,4249.96
05-Jan 8pm,4001.87
05-Jan 9pm,3745.16
05-Jan 10pm,3440.64
05-Jan 11pm,2848.18
06-Jan 12am,2329.92
06-Jan 1am,2013.87
06-Jan 2am,1866.70
06-Jan 3am,1799.94
06-Jan 4am,1858.60
06-Jan 5am,2168.27
06-Jan 6am,2920.56
06-Jan 7am,3813.85
06-Jan 8am,4483.63
06-Jan 9am,4962.37
06-Jan 10am,5372.37
06-Jan 11am,5422.01
06-Jan 12pm,5249.82
06-Jan 1pm,4629.94
06-Jan 2pm,4314.58
06-Jan 3pm,3952.11
06-Jan 4pm,4050.97
06-Jan 5pm,4159.86
06-Jan 6pm,4387.24
06-Jan 7pm,4304.15
06-Jan 8pm,4102.64
06-Jan 9pm,3871.07
06-Jan 10pm,3520.36
06-Jan 11pm,2926.55
07-Jan 12am,2384.85
07-Jan 1am,2071.43
07-Jan 2am,1919.56
07-Jan 3am,1844.87
07-Jan 4am,1894.14
07-Jan 5am,2161.40
07-Jan 6am,2804.53
07-Jan 7am,3692.04
07-Jan 8am,4377.96
07-Jan 9am,4798.65
07-Jan 10am,5070.12
07-Jan 11am,5012.11
07-Jan 12pm,4711.73
07-Jan 1pm,4207.17
07-Jan 2pm,3908.30
07-Jan 3pm,3748.01
07-Jan 4pm,3732.72
07-Jan 5pm,3945.74
07-Jan 6pm,4217.43
07-Jan 7pm,4126.00
07-Jan 8pm,3951.26
07-Jan 9pm,3770.37
07-Jan 10pm,3465.67
07-Jan 11pm,2897.39
08-Jan 12am,2350.59
08-Jan 1am,2009.90
08-Jan 2am,1844.39
08-Jan 3am,1770.50
08-Jan 4am,1813.34
08-Jan 5am,2043.68
08-Jan 6am,2523.40
08-Jan 7am,3217.45
08-Jan 8am,3959.41
08-Jan 9am,4559.18
08-Jan 10am,5047.19
08-Jan 11am,5153.00
08-Jan 12pm,4930.98
08-Jan 1pm,4393.63
08-Jan 2pm,3990.54
08-Jan 3pm,3715.97
08-Jan 4pm,3592.76
08-Jan 5pm,3765.20
08-Jan 6pm,4005.12
08-Jan 7pm,4014.78
08-Jan 8pm,3879.12
08-Jan 9pm,3727.41
08-Jan 10pm,3394.07
08-Jan 11pm,2829.25
09-Jan 12am,2293.34
09-Jan 1am,1970.26
09-Jan 2am,1816.71
09-Jan 3am,1749.27
09-Jan 4am,1816.40
09-Jan 5am,2110.67
09-Jan 6am,2865.56
09-Jan 7am,3833.30
09-Jan 8am,4580.04
09-Jan 9am,5034.71
09-Jan 10am,5412.06
09-Jan 11am,5340.97
09-Jan 12pm,5046.15
09-Jan 1pm,4548.73
09-Jan 2pm,4387.13
09-Jan 3pm,4184.69
09-Jan 4pm,4111.34
09-Jan 5pm,4246.49
09-Jan 6pm,4406.74
09-Jan 7pm,4322.85
09-Jan 8pm,4131.11
09-Jan 9pm,3881.88
09-Jan 10pm,3546.50
09-Jan 11pm,2918.61
10-Jan 12am,2370.07
10-Jan 1am,2041.27
10-Jan 2am,1877.44
10-Jan 3am,1811.01
10-Jan 4am,1871.32
10-Jan 5am,2176.95
10-Jan 6am,2913.58
10-Jan 7am,3865.78
10-Jan 8am,4704.89
10-Jan 9am,5151.64
10-Jan 10am,5433.73
10-Jan 11am,5343.46
10-Jan 12pm,5052.87
10-Jan 1pm,4438.69
10-Jan 2pm,4175.26
10-Jan 3pm,4005.26
10-Jan 4pm,3956.74
10-Jan 5pm,4115.98
10-Jan 6pm,4338.15
10-Jan 7pm,4251.92
10-Jan 8pm,4110.10
10-Jan 9pm,3870.28
10-Jan 10pm,3557.40
10-Jan 11pm,2936.55
11-Jan 12am,2361.31
11-Jan 1am,2039.89
11-Jan 2am,1889.86
11-Jan 3am,1819.38
11-Jan 4am,1876.30
11-Jan 5am,2170.81
11-Jan 6am,2917.87
11-Jan 7am,3874.27
11-Jan 8am,4698.69
11-Jan 9am,5171.62
11-Jan 10am,5414.79
11-Jan 11am,5292.03
11-Jan 12pm,4939.18
11-Jan 1pm,4438.71
11-Jan 2pm,4243.72
11-Jan 3pm,4089.97
11-Jan 4pm,4039.43
11-Jan 5pm,4211.80
11-Jan 6pm,4390.11
11-Jan 7pm,4326.21
11-Jan 8pm,4176.83
11-Jan 9pm,3945.41
11-Jan 10pm,3629.67
11-Jan 11pm,3066.17
12-Jan 12am,2537.25
12-Jan 1am,2199.92
12-Jan 2am,2057.75
12-Jan 3am,1983.86
12-Jan 4am,2040.88
12-Jan 5am,2306.12
12-Jan 6am,2969.34
12-Jan 7am,3911.45
12-Jan 8am,4617.98
12-Jan 9am,4915.07
12-Jan 10am,5095.69
12-Jan 11am,4917.39
12-Jan 12pm,4551.78
12-Jan 1pm,4005.18
12-Jan 2pm,3888.94
12-Jan 3pm,3758.37
12-Jan 4pm,3768.00
12-Jan 5pm,3924.84
12-Jan 6pm,4136.38
12-Jan 7pm,4043.84
12-Jan 8pm,3767.88
12-Jan 9pm,3524.67
12-Jan 10pm,3227.36
12-Jan 11pm,2722.50
13-Jan 12am,2232.62
13-Jan 1am,1922.94
13-Jan 2am,1778.91
13-Jan 3am,1718.42
13-Jan 4am,1778.07
13-Jan 5am,2071.43
13-Jan 6am,2769.85
13-Jan 7am,3715.29
13-Jan 8am,4433.62
13-Jan 9am,4823.92
13-Jan 10am,5068.73
13-Jan 11am,5029.50
13-Jan 12pm,4863.61
13-Jan 1pm,4306.23
13-Jan 2pm,4098.75
13-Jan 3pm,3891.87
13-Jan 4pm,3775.83
13-Jan 5pm,3883.30
13-Jan 6pm,4073.19
13-Jan 7pm,3970.51
13-Jan 8pm,3693.46
13-Jan 9pm,3442.95
13-Jan 10pm,3181.10
13-Jan 11pm,2797.71
14-Jan 12am,2361.53
14-Jan 1am,2083.83
14-Jan 2am,1933.57
14-Jan 3am,1865.19
14-Jan 4am,1920.02
14-Jan 5am,2209.16
14-Jan 6am,2832.41
14-Jan 7am,3605.93
14-Jan 8am,4247.38
14-Jan 9am,4564.11
14-Jan 10am,4749.93
14-Jan 11am,4595.36
14-Jan 12pm,4296.32
14-Jan 1pm,3765.00
14-Jan 2pm,3513.31
14-Jan 3pm,3347.37
14-Jan 4pm,3319.16
14-Jan 5pm,3491.33
14-Jan 6pm,3753.78
14-Jan 7pm,3719.57
14-Jan 8pm,3554.78
14-Jan 9pm,3395.67
14-Jan 10pm,3126.11
14-Jan 11pm,2633.55
15-Jan 12am,2239.57
15-Jan 1am,1986.06
15-Jan 2am,1855.56
15-Jan 3am,1773.79
15-Jan 4am,1805.74
15-Jan 5am,2040.95
15-Jan 6am,2533.55
15-Jan 7am,3295.24
15-Jan 8am,3993.75
15-Jan 9am,4486.13
15-Jan 10am,4757.70
15-Jan 11am,4678.92
15-Jan 12pm,4370.33
15-Jan 1pm,3882.21
15-Jan 2pm,3570.59
15-Jan 3pm,3396.17
15-Jan 4pm,3348.48
15-Jan 5pm,3548.94
15-Jan 6pm,3831.51
15-Jan 7pm,3802.41
15-Jan 8pm,3671.11
15-Jan 9pm,3524.04
15-Jan 10pm,3239.13
15-Jan 11pm,2742.97
16-Jan 12am,2282.08
16-Jan 1am,2005.37
16-Jan 2am,1844.97
16-Jan 3am,1796.72
16-Jan 4am,1868.96
16-Jan 5am,2256.14
16-Jan 6am,3173.44
16-Jan 7am,4087.11
16-Jan 8am,4512.73
16-Jan 9am,4739.99
16-Jan 10am,4939.65
16-Jan 11am,4776.36
16-Jan 12pm,4464.49
16-Jan 1pm,3967.10
16-Jan 2pm,3838.90
16-Jan 3pm,3749.18
16-Jan 4pm,3714.91
16-Jan 5pm,3931.06
16-Jan 6pm,4176.18
16-Jan 7pm,4123.91
16-Jan 8pm,3904.04
16-Jan 9pm,3708.78
16-Jan 10pm,3358.09
16-Jan 11pm,2765.30
17-Jan 12am,2253.64
17-Jan 1am,1956.17
17-Jan 2am,1811.93
17-Jan 3am,1740.81
17-Jan 4am,1824.68
17-Jan 5am,2238.23
17-Jan 6am,3277.01
17-Jan 7am,4214.67
17-Jan 8am,4637.20
17-Jan 9am,4849.74
17-Jan 10am,4945.35
17-Jan 11am,4760.18
17-Jan 12pm,4435.39
17-Jan 1pm,3910.70
17-Jan 2pm,3830.74
17-Jan 3pm,3745.63
17-Jan 4pm,3680.10
17-Jan 5pm,3911.11
17-Jan 6pm,4207.82
17-Jan 7pm,4180.13
17-Jan 8pm,3943.79
17-Jan 9pm,3743.95
17-Jan 10pm,3391.44
17-Jan 11pm,2789.41
18-Jan 12am,2253.20
18-Jan 1am,1955.42
18-Jan 2am,1811.82
18-Jan 3am,1744.68
18-Jan 4am,1824.27
18-Jan 5am,2253.59
18-Jan 6am,3333.14
18-Jan 7am,4268.09
18-Jan 8am,4653.53
18-Jan 9am,4878.79
18-Jan 10am,5036.36
18-Jan 11am,4840.50
18-Jan 12pm,4492.24
18-Jan 1pm,3996.14
18-Jan 2pm,3899.90
18-Jan 3pm,3803.51
18-Jan 4pm,3768.46
18-Jan 5pm,3954.58
18-Jan 6pm,4217.27
18-Jan 7pm,4199.04
18-Jan 8pm,3982.07
18-Jan 9pm,3759.30
18-Jan 10pm,3378.98
18-Jan 11pm,2784.25
19-Jan 12am,2259.44
19-Jan 1am,1951.16
19-Jan 2am,1804.89
19-Jan 3am,1748.51
19-Jan 4am,1821.56
19-Jan 5am,2233.61
19-Jan 6am,3266.09
19-Jan 7am,4170.76
19-Jan 8am,4482.22
19-Jan 9am,4678.05
19-Jan 10am,4762.78
19-Jan 11am,4572.76
19-Jan 12pm,4240.19
19-Jan 1pm,3797.95
19-Jan 2pm,3748.71
19-Jan 3pm,3668.01
19-Jan 4pm,3653.94
19-Jan 5pm,3906.64
19-Jan 6pm,4129.26
19-Jan 7pm,4035.12
19-Jan 8pm,3786.80
19-Jan 9pm,3518.19
19-Jan 10pm,3181.74
19-Jan 11pm,2642.43
20-Jan 12am,2162.59
20-Jan 1am,1895.27
20-Jan 2am,1761.61
20-Jan 3am,1699.19
20-Jan 4am,1776.21
20-Jan 5am,2200.17
20-Jan 6am,3231.67
20-Jan 7am,4072.25
20-Jan 8am,4485.97
20-Jan 9am,4700.67
20-Jan 10am,4821.72
20-Jan 11am,4710.84
20-Jan 12pm,4398.24
20-Jan 1pm,3910.22
20-Jan 2pm,3730.81
20-Jan 3pm,3609.27
20-Jan 4pm,3525.32
20-Jan 5pm,3658.06
20-Jan 6pm,3909.79
20-Jan 7pm,3837.02
20-Jan 8pm,3639.87
20-Jan 9pm,3342.26
20-Jan 10pm,3033.47
20-Jan 11pm,2572.44
21-Jan 12am,2122.74
21-Jan 1am,1868.69
21-Jan 2am,1732.81
21-Jan 3am,1689.88
21-Jan 4am,1777.52
21-Jan 5am,2153.38
21-Jan 6am,2975.97
21-Jan 7am,3764.67
21-Jan 8am,4134.44
21-Jan 9am,4302.60
21-Jan 10am,4456.14
21-Jan 11am,4313.47
21-Jan 12pm,4002.42
21-Jan 1pm,3540.21
21-Jan 2pm,3435.70
21-Jan 3pm,3320.13
21-Jan 4pm,3260.93
21-Jan 5pm,3464.75
21-Jan 6pm,3680.30
21-Jan 7pm,3611.89
21-Jan 8pm,3367.63
21-Jan 9pm,3157.22
21-Jan 10pm,2872.00
21-Jan 11pm,2430.74
22-Jan 12am,2034.99
22-Jan 1am,1785.12
22-Jan 2am,1657.53
22-Jan 3am,1597.82
22-Jan 4am,1654.68
22-Jan 5am,1895.41
22-Jan 6am,2411.16
22-Jan 7am,3129.47
22-Jan 8am,3781.42
22-Jan 9am,4241.02
22-Jan 10am,4558.51
22-Jan 11am,4461.20
22-Jan 12pm,4310.98
22-Jan 1pm,3760.27
22-Jan 2pm,3482.55
22-Jan 3pm,3200.84
22-Jan 4pm,3099.34
22-Jan 5pm,3226.88
22-Jan 6pm,3473.65
22-Jan 7pm,3421.85
22-Jan 8pm,3236.27
22-Jan 9pm,3046.70
22-Jan 10pm,2762.00
22-Jan 11pm,2330.55
23-Jan 12am,1944.29
23-Jan 1am,1712.80
23-Jan 2am,1604.27
23-Jan 3am,1561.40
23-Jan 4am,1658.00
23-Jan 5am,2097.12
23-Jan 6am,3121.65
23-Jan 7am,3887.92
23-Jan 8am,4149.55
23-Jan 9am,4309.32
23-Jan 10am,4365.78
23-Jan 11am,4203.57
23-Jan 12pm,3926.28
23-Jan 1pm,3500.12
23-Jan 2pm,3432.62
23-Jan 3pm,3350.10
23-Jan 4pm,3289.38
23-Jan 5pm,3418.83
23-Jan 6pm,3660.37
23-Jan 7pm,3625.90
23-Jan 8pm,3350.19
23-Jan 9pm,3072.97
23-Jan 10pm,2772.99
23-Jan 11pm,2350.12
24-Jan 12am,1967.29
24-Jan 1am,1744.21
24-Jan 2am,1627.26
24-Jan 3am,1587.45
24-Jan 4am,1678.87
24-Jan 5am,2095.07
24-Jan 6am,3049.25
24-Jan 7am,3827.96
24-Jan 8am,4083.67
24-Jan 9am,4276.06
24-Jan 10am,4398.66
24-Jan 11am,4268.56
24-Jan 12pm,3975.40
24-Jan 1pm,3572.46
24-Jan 2pm,3516.16
24-Jan 3pm,3449.06
24-Jan 4pm,3393.27
24-Jan 5pm,3495.78
24-Jan 6pm,3660.68
24-Jan 7pm,3602.51
24-Jan 8pm,3344.30
24-Jan 9pm,3040.25
24-Jan 10pm,2733.46
24-Jan 11pm,2313.22
25-Jan 12am,1952.72
25-Jan 1am,1738.04
25-Jan 2am,1633.08
25-Jan 3am,1594.13
25-Jan 4am,1696.18
25-Jan 5am,2118.84
25-Jan 6am,3066.02
25-Jan 7am,3830.51
25-Jan 8am,4074.26
25-Jan 9am,4331.01
25-Jan 10am,4490.90
25-Jan 11am,4444.77
25-Jan 12pm,4184.57
25-Jan 1pm,3790.57
25-Jan 2pm,3712.05
25-Jan 3pm,3617.85
25-Jan 4pm,3463.08
25-Jan 5pm,3595.79
25-Jan 6pm,3734.77
25-Jan 7pm,3612.47
25-Jan 8pm,3344.87
25-Jan 9pm,3026.29
25-Jan 10pm,2756.69
25-Jan 11pm,2392.66
26-Jan 12am,2034.24
26-Jan 1am,1810.52
26-Jan 2am,1684.74
26-Jan 3am,1622.89
26-Jan 4am,1681.02
26-Jan 5am,1918.91
26-Jan 6am,2366.60
26-Jan 7am,2939.90
26-Jan 8am,3452.46
26-Jan 9am,3793.41
26-Jan 10am,3917.36
26-Jan 11am,3791.75
26-Jan 12pm,3576.12
26-Jan 1pm,3209.42
26-Jan 2pm,2853.92
26-Jan 3pm,2601.20
26-Jan 4pm,2496.60
26-Jan 5pm,2646.49
26-Jan 6pm,2903.15
26-Jan 7pm,2945.26
26-Jan 8pm,2864.27
26-Jan 9pm,2769.72
26-Jan 10pm,2483.62
26-Jan 11pm,2101.83
27-Jan 12am,1756.50
27-Jan 1am,1551.41
27-Jan 2am,1458.48
27-Jan 3am,1431.16
27-Jan 4am,1519.53
27-Jan 5am,1926.17
27-Jan 6am,2866.40
27-Jan 7am,3720.51
27-Jan 8am,4117.80
27-Jan 9am,4380.00
27-Jan 10am,4651.72
27-Jan 11am,4524.14
27-Jan 12pm,4209.57
27-Jan 1pm,3644.07
27-Jan 2pm,3493.80
27-Jan 3pm,3381.93
27-Jan 4pm,3321.82
27-Jan 5pm,3461.89
27-Jan 6pm,3682.08
27-Jan 7pm,3756.12
27-Jan 8pm,3561.12
27-Jan 9pm,3257.23
27-Jan 10pm,2991.69
27-Jan 11pm,2584.08
28-Jan 12am,2199.27
28-Jan 1am,1983.82
28-Jan 2am,1869.51
28-Jan 3am,1810.85
28-Jan 4am,1868.18
28-Jan 5am,2195.40
28-Jan 6am,2898.50
28-Jan 7am,3629.72
28-Jan 8am,4027.83
28-Jan 9am,4240.95
28-Jan 10am,4327.25
28-Jan 11am,4165.84
28-Jan 12pm,3858.35
28-Jan 1pm,3432.61
28-Jan 2pm,3265.07
28-Jan 3pm,3131.20
28-Jan 4pm,3082.22
28-Jan 5pm,3237.23
28-Jan 6pm,3504.88
28-Jan 7pm,3409.27
28-Jan 8pm,3228.27
28-Jan 9pm,3025.81
28-Jan 10pm,2763.59
28-Jan 11pm,2364.40
29-Jan 12am,1981.36
29-Jan 1am,1741.67
29-Jan 2am,1622.12
29-Jan 3am,1566.37
29-Jan 4am,1627.40
29-Jan 5am,1871.92
29-Jan 6am,2370.68
29-Jan 7am,3016.67
29-Jan 8am,3674.68
29-Jan 9am,4133.87
29-Jan 10am,4409.66
29-Jan 11am,4371.95
29-Jan 12pm,4254.93
29-Jan 1pm,3640.07
29-Jan 2pm,3331.50
29-Jan 3pm,3250.40
29-Jan 4pm,3177.11
29-Jan 5pm,3314.73
29-Jan 6pm,3440.52
29-Jan 7pm,3454.74
29-Jan 8pm,3303.61
29-Jan 9pm,3091.04
29-Jan 10pm,2780.91
29-Jan 11pm,2306.55
30-Jan 12am,1924.91
30-Jan 1am,1689.39
30-Jan 2am,1584.20
30-Jan 3am,1536.54
30-Jan 4am,1614.27
30-Jan 5am,1995.47
30-Jan 6am,2890.40
30-Jan 7am,3639.99
30-Jan 8am,4078.12
30-Jan 9am,4287.23
30-Jan 10am,4552.88
30-Jan 11am,4446.68
30-Jan 12pm,4212.91
30-Jan 1pm,3771.42
30-Jan 2pm,3740.47
30-Jan 3pm,3611.38
30-Jan 4pm,3511.36
30-Jan 5pm,3556.04
30-Jan 6pm,3674.21
30-Jan 7pm,3681.60
30-Jan 8pm,3467.45
30-Jan 9pm,3237.88
30-Jan 10pm,2891.82
30-Jan 11pm,2429.58
31-Jan 12am,2036.38
31-Jan 1am,1785.19
31-Jan 2am,1671.65
31-Jan 3am,1629.07
31-Jan 4am,1711.06
31-Jan 5am,2135.70
31-Jan 6am,3072.60
31-Jan 7am,3881.09
31-Jan 8am,4178.26
31-Jan 9am,4450.96
31-Jan 10am,4568.26
31-Jan 11am,4388.19
31-Jan 12pm,4081.23
31-Jan 1pm,3610.40
31-Jan 2pm,3548.89
31-Jan 3pm,3487.05
31-Jan 4pm,3431.94
31-Jan 5pm,3591.61
31-Jan 6pm,3780.81
31-Jan 7pm,3709.97
31-Jan 8pm,3495.71
31-Jan 9pm,3224.97
31-Jan 10pm,2895.53
31-Jan 11pm,2448.64
